1770388566620,22,23,5000.0,STARTED
1770388566635,22,23,5000.0,FAILED
1770388687345,20,21,5000.0,STARTED
1770388687404,20,21,5000.0,FAILED
1770388770832,20,21,1000.0,STARTED
1770388770856,20,21,1000.0,COMMITTED
1770444750312,20,29,10000.0,STARTED
1770444750323,20,29,10000.0,COMMITTED
1770553277497,8,9,10000.0,FAILED
1771161153628,22,21,5000.0,STARTED
1771161153640,22,21,5000.0,COMMITTED
1771162699706,40,38,5000.0,STARTED
1771162699723,40,38,5000.0,COMMITTED
1771294908589,20,21,1000.0,STARTED
1771294908632,20,21,1000.0,COMMITTED
1771295459599,5,6,500.0,STARTED
1771295459644,5,6,500.0,COMMITTED
1771295931246,11,12,1000.0,FAILED
1771296064436,9,10,10000.0,STARTED
1771296064460,9,10,10000.0,COMMITTED
